IdSymbol	P-152	P-244	P-068	P-133	P-018	P-180	P-284	P-092	P-261	P-232	P-151	P-333	P-136	P-115	P-332	P-091	P-121	P-080	P-130	P-146	P-162	P-331	P-063	P-005	P-072	P-360	P-024	P-239	P-246	P-057	P-343	P-190	P-352	P-148	P-294	P-265	P-258	P-289	P-326	P-053	P-192	P-166	P-227	P-042	P-188	P-351	P-221	P-177	P-308	P-054
OTU_1751530	50.71495447	52.53716258	46.17022824	59.9279227	50.4714095	46.11112629	53.76919742	50.29800403	91.59774352	40.03925138	46.24820371	45.6404761	65.1439427	64.67184321	61.44317975	40.00097226	39.71202472	41.06563686	66.62716767	67.57790623	42.71926138	50.77529396	41.82286887	48.39080635	47.44129843	46.59519717	39.88149642	67.4595122	49.3665583	43.35320579	43.87104119	49.97575453	41.57693239	48.34317686	55.48523233	55.52505717	49.53132642	57.98789283	55.66259013	52.29503704	42.47851094	64.74985245	39.46357899	37.5659683	59.81546987	56.62327937	54.3399283	42.6840583	47.40947113	46.71858138
OTU_1700703	31.99823811	31.28787635	31.90304352	31.58252145	31.51297887	32.7102866	35.19196	33.8947578	34.85774365	31.53650396	36.77074585	34.89778484	39.87469503	32.47596258	31.63118365	34.35417088	33.72521459	33.47433013	32.29519403	44.45123453	32.82555811	33.86720975	34.53335321	33.67704478	31.78454346	32.19885465	35.20994151	34.79611327	36.91707119	32.30717233	32.85413723	33.02343421	35.02913226	32.64764723	34.07417862	33.1030039	37.2528778	36.94576887	32.93521415	36.27489025	33.51908245	35.15919591	32.45655358	36.1211517	40.7174534	34.80362132	31.95318283	34.06170289	33.16340252	37.34468654
OTU_1777424	38.26568396	34.11037145	33.89837742	40.23682635	39.6540866	34.99510704	34.16044314	40.86978119	37.76090887	41.31962704	38.14277635	42.75832208	37.12031667	39.84655585	44.61411314	35.12718484	36.08513642	36.96798579	39.54647748	38.46544145	35.01425094	43.4220073	39.7089156	34.92326585	35.09161484	42.01585918	32.68091101	36.46784	35.74064887	41.80412453	43.87485654	36.22574597	41.9249356	36.02491711	36.16839465	40.74920497	36.22097132	40.3612017	47.29346616	41.60370013	31.77846698	36.36184868	38.19291132	37.41487956	33.46539031	47.20468333	38.31823925	34.26654811	41.88946616	37.09061478
OTU_2396551	35.87168283	33.13784365	40.57727491	34.65453887	37.26136252	38.83511157	35.93555308	41.31844937	37.65581874	36.64265365	37.61540868	41.19471987	42.95566667	32.37178138	39.40112547	34.10681629	33.15111233	35.16876176	36.19172824	31.85961088	38.43398667	38.52376654	44.65816862	34.52142943	38.44347377	38.96250805	34.12522585	38.8769734	32.40347465	38.69593132	42.79020503	34.39639101	37.35667314	37.43626604	31.30522679	37.6138834	38.15442371	32.89769289	37.09610881	37.35343761	34.62498308	34.8899461	38.40878855	38.53032075	36.25344673	40.75356491	36.33108969	37.59481969	38.04986642	35.26603201
OTU_1757915	35.62438723	39.56391044	38.08541818	38.30721962	36.46232767	36.81132918	37.06008176	37.49957648	41.26550132	38.05133208	38.79821824	36.73741119	37.1314544	43.21169472	35.11571314	33.92177604	38.16014428	38.68203755	34.86589239	35.30456465	34.7119766	38.77675094	43.39124025	36.41872648	52.81337038	36.74007843	35.0496339	39.74197264	35.3620634	39.9327844	34.77383258	34.26908591	37.63056912	38.41793717	44.84609616	36.39860673	38.18187233	106.6648083	36.78538088	33.20938377	37.33013906	35.66487648	38.14037843	40.8521866	33.92006635	36.87327145	39.42681516	38.7118005	37.12764868	39.0593427
OTU_2288639	34.62067925	36.99818113	36.98502818	42.2907173	34.08013535	36.13479214	36.57987572	31.32990786	33.23616528	41.36157138	38.37642604	34.03829031	39.06472874	38.74453786	36.01357635	39.95465843	38.64652692	35.7502422	36.59010541	34.55752264	41.57102912	39.57648994	37.72236195	38.24338333	31.67318358	30.90137396	34.15504925	36.84453969	37.05636358	35.95879855	32.11247698	42.12623101	37.21147321	32.20812717	36.39492912	34.49579686	33.3241366	38.87127031	34.43893384	43.59640258	36.47053981	38.61509698	37.99334283	36.31233818	37.18260101	36.00537459	35.91755553	34.86931006	35.76680434	35.97018503
OTU_1664660	138.3858576	140.2402667	169.7573009	174.0053769	122.9395656	134.2243399	139.0056028	130.6424003	177.24868	134.9868528	136.3843053	143.0584981	152.9495717	137.2459541	222.632333	165.6637063	136.319117	136.5288069	139.0780018	139.912167	190.184579	132.3316425	135.8807868	139.8175651	134.198269	37.68057503	37.4274727	42.66851377	40.17590805	37.66534566	35.39685484	41.1911534	34.06345384	43.75036667	26.664772	40.61912855	42.48862	36.20364767	39.92051403	39.44367038	34.74361107	36.21711484	36.55103296	40.78215258	39.22283497	33.53750006	39.87885654	35.94180704	27.976513	37.0926234
OTU_2233576	36.75530981	402.2034925	39.96922472	34.11693969	35.75192434	38.1508656	45.84685384	36.06415132	1933.956151	35.15369119	35.29810346	39.35086088	34.78787126	1498.009082	35.8614717	35.47643736	33.26237742	72.47983308	136.3863014	34.86367767	44.32686465	1266.516727	37.19997629	37.56735497	11528.2184	36.30865491	35.86759742	36.80354038	31.96427811	32.09208642	39.10977057	36.17651302	1182.430082	205.7170969	2494.911579	38.53252541	81.14886069	16312.72421	37.34682415	32.26526358	40.57973925	38.54771252	38.84147453	37.69300591	45.38507692	48.35804384	34.75376	36.49343057	36.90691403	37.78400491
OTU_1691563	37.0657995	173.7247453	35.55285799	35.73755553	35.83817126	36.63674667	43.22614937	38.59448201	1364.523689	36.27320308	38.00363642	37.88393132	34.01892673	761.6741013	38.14565346	36.31978786	40.50201157	37.19525094	87.75944522	37.74320025	36.48599503	237.2918736	39.21367987	36.29831258	1489.136396	39.37156384	40.52595233	34.77503937	40.17251742	40.00432824	37.78752761	36.77859132	105.3097363	44.04107887	1282.055421	39.43156189	55.51652025	5102.646503	37.17197189	35.86553069	37.30125013	38.91193164	38.92144786	36.8039105	36.26740868	40.55663585	42.48495006	36.01926572	38.05534509	34.49896597
OTU_2203976	39.11798176	37.11925811	37.67691742	34.22226107	38.92799164	38.91193164	37.34170428	32.7620317	65.02344881	32.93763742	36.22128384	35.22153585	43.65322465	60.11163333	36.36149503	37.00398459	37.55571201	36.85018132	38.9984322	37.6071039	38.26221994	39.44004736	39.23044943	36.32842987	78.29649031	36.40404365	37.20172975	37.80228931	36.34463491	38.35977969	33.51484296	36.00503075	34.76062277	42.09484805	66.74747365	36.85473352	40.31691164	249.4785145	35.21396767	39.56797604	39.00478579	38.17974038	42.82133075	34.77075535	40.02980874	36.93269289	39.71061101	33.6935178	40.92231755	35.51692031
