SampleID	Factor
P-092	HFHS
P-191	HFHS
P-251	HFHS
P-014	HFHS
P-153	HFHS
P-152	HFHS
P-236	HFHS
P-149	HFHS
P-276	HFHS
P-333	HFHS
P-144	HFHS
P-005	HFHS
P-244	HFHS
P-332	HFHS
P-141	HFHS
P-080	HFHS
P-271	HFHS
P-091	HFHS
P-180	HFHS
P-178	HFHS
P-124	HFHS
P-004	HFHS
P-078	HFHS
P-063	HFHS
P-228	HFHS
P-319	NCD
P-166	NCD
P-285	NCD
P-193	NCD
P-101	NCD
P-391	NCD
P-213	NCD
P-355	NCD
P-351	NCD
P-363	NCD
P-290	NCD
P-289	NCD
P-293	NCD
P-301	NCD
P-215	NCD
P-208	NCD
P-372	NCD
P-096	NCD
P-200	NCD
P-142	NCD
P-308	NCD
P-192	NCD
P-374	NCD
P-352	NCD
P-265	NCD
